iter	Logloss
0	0.6849984741
1	0.6744944458
2	0.6687426758
3	0.6582034302
4	0.6514037476
5	0.6433485107
6	0.6336821289
7	0.6248035278
8	0.6194321289
9	0.6157479858
10	0.6092241211
11	0.6082175293
12	0.6006383057
13	0.5916506958
14	0.5843434448
15	0.5781523438
16	0.5735502319
17	0.5654899902
18	0.5607095947
19	0.5564304199
20	0.5490767822
21	0.5465908813
22	0.5429192505
23	0.5371669922
24	0.5315759277
25	0.5281189575
26	0.5239372559
27	0.5190151367
28	0.5150819092
29	0.5095969849
30	0.5051151733
31	0.5011104431
32	0.4977171936
33	0.4967993164
34	0.4912811279
35	0.4906087646
36	0.4857984314
37	0.4830758362
38	0.4823378296
39	0.4791384277
40	0.4751861572
41	0.4713569031
42	0.4683085327
43	0.4658033447
44	0.4645267944
45	0.4612402954
46	0.4589473267
47	0.4571973572
48	0.4555790405
49	0.4515448303
50	0.4501094055
51	0.4477958984
52	0.4467503357
53	0.4463831482
54	0.4431325378
55	0.4409897461
56	0.4393701477
57	0.4362706909
58	0.4351520081
59	0.4327267456
60	0.4318366699
61	0.4297109375
62	0.4277040405
63	0.4261118774
64	0.4234106445
65	0.4220682373
66	0.4198365784
67	0.4177470703
68	0.4151977539
69	0.4116984253
70	0.4100220947
71	0.4090014038
72	0.4077596741
73	0.4071551514
74	0.4068637695
75	0.4058651123
76	0.4045605469
77	0.4043881226
78	0.4030252686
79	0.4008317261
80	0.3986410828
81	0.3978591309
82	0.3962286377
83	0.3947235718
84	0.3936329956
85	0.392961853
86	0.3906671143
87	0.3894039307
88	0.389037323
89	0.3866517944
90	0.3861461487
91	0.3857040405
92	0.3843191833
93	0.3828624878
94	0.3815097656
95	0.3804831543
96	0.3791558838
97	0.3785652466
98	0.3765556641
99	0.3758223572
100	0.3751209717
101	0.3741151733
102	0.3722336426
103	0.3709747314
104	0.3704230957
105	0.3699978027
106	0.3691631775
107	0.3682684937
108	0.3668571167
109	0.3656845093
110	0.3652053223
111	0.3639770508
112	0.3619181519
113	0.3608115234
114	0.3594736633
115	0.3590168457
116	0.3580279541
117	0.357794281
118	0.3568026428
119	0.3557921448
120	0.3550908203
121	0.3533739014
122	0.3528259277
123	0.3522556152
124	0.3513518677
125	0.3508573608
126	0.3500513306
127	0.3487552795
128	0.3479006653
129	0.3475456238
130	0.3463156433
131	0.34512854
132	0.3443400269
133	0.3439800415
134	0.3431254578
135	0.3418092346
136	0.3408384399
137	0.3399083862
138	0.3389406128
139	0.3384111328
140	0.3380733643
141	0.3373366089
142	0.3362505188
143	0.3359481812
144	0.33528302
145	0.3341572876
146	0.3334345398
147	0.3324927368
148	0.3323325806
149	0.33171875
150	0.3311337891
151	0.3302477112
152	0.3294871826
153	0.3288924255
154	0.3282367554
155	0.3270361633
156	0.3263465881
157	0.3258643188
158	0.3252807007
159	0.3249963379
160	0.3242429199
161	0.3238128052
162	0.3235488586
163	0.3227203979
164	0.3222259521
165	0.3220151062
166	0.3217206116
167	0.3207966614
168	0.3202509766
169	0.3200677795
170	0.3195696716
171	0.3191523743
172	0.3187631226
173	0.3182929382
174	0.3180003357
175	0.3179038086
176	0.3174423828
177	0.3171842346
178	0.3168563843
179	0.3166815796
180	0.3164247437
181	0.3161699829
182	0.3158517151
183	0.3157002563
184	0.3153974915
185	0.3145626831
186	0.3140542297
187	0.3135641479
188	0.3131459961
189	0.3123950195
190	0.3119067993
191	0.3112047424
192	0.3110915527
193	0.3106018677
194	0.3102209167
195	0.3100829468
196	0.3096412354
197	0.3092052002
198	0.3086225281
199	0.3082593994
200	0.3079689941
201	0.3073936157
202	0.3072407227
203	0.3066359253
204	0.3059067078
205	0.3054997559
206	0.3051051636
207	0.3045420227
208	0.3041326599
209	0.3039283447
210	0.3036048279
211	0.3034718933
212	0.3026983643
213	0.3022542725
214	0.3019923401
215	0.3015325317
216	0.3012442932
217	0.3009770203
218	0.300807312
219	0.3005761719
220	0.3003084717
221	0.2999451294
222	0.299809021
223	0.299411438
224	0.2991237793
225	0.2987130737
226	0.2985135803
227	0.2979869995
228	0.2970625
229	0.2966061096
230	0.2962351074
231	0.2959289551
232	0.2957305908
233	0.2953904419
234	0.2950671692
235	0.2946574707
236	0.2945784302
237	0.2942796631
238	0.2937085266
239	0.2935020142
240	0.2934239197
241	0.2932764282
242	0.2929586792
243	0.2928851624
244	0.2925060425
245	0.291977356
246	0.2917999878
247	0.2914428406
248	0.2910145264
249	0.2901595154
250	0.2895324707
251	0.2891583252
252	0.2889078979
253	0.2884292603
254	0.2881036377
255	0.2876635132
256	0.2874675903
257	0.2872389221
258	0.2870563354
259	0.2868323669
260	0.2866179199
261	0.2863112793
262	0.2861369629
263	0.2859432373
264	0.2854656372
265	0.2853482056
266	0.2850921631
267	0.2849683838
268	0.284843811
269	0.284756073
270	0.284387207
271	0.2839417725
272	0.2835511475
273	0.283440033
274	0.2832197876
275	0.282855896
276	0.2823676758
277	0.2820926819
278	0.2816385193
279	0.2806089478
280	0.2801663208
281	0.2797213135
282	0.2791956787
283	0.27886203
284	0.2787197571
285	0.278432373
286	0.2782021179
287	0.2779515381
288	0.2777686157
289	0.277489502
290	0.2772001343
291	0.2767734375
292	0.2766134644
293	0.2762704468
294	0.2756417847
295	0.2754567871
296	0.2752199097
297	0.2746038818
298	0.2742753906
299	0.2741739502
300	0.2737027588
301	0.2734547119
302	0.2733319092
303	0.2729499512
304	0.272759491
305	0.2721858521
306	0.271949585
307	0.271796814
308	0.2714807434
309	0.2713195801
310	0.271015625
311	0.2707636108
312	0.270223877
313	0.2699519653
314	0.2696456604
315	0.2693332214
316	0.2691611938
317	0.2689945984
318	0.2687503052
319	0.2683605347
320	0.2676802063
321	0.2672664795
322	0.2665567932
323	0.266461853
324	0.2656832886
325	0.2650421753
326	0.2648514099
327	0.2643446655
328	0.2641515503
329	0.2639099731
330	0.2631340942
331	0.2629662781
332	0.2624804687
333	0.2622637634
334	0.2620977173
335	0.2615947266
336	0.2613327026
337	0.2607170715
338	0.2600237122
339	0.259918335
340	0.2593222046
341	0.2591083679
342	0.2585521851
343	0.2582166138
344	0.2578903503
345	0.2577778931
346	0.2574488525
347	0.2573828735
348	0.257120575
349	0.2569244995
350	0.2566922302
351	0.2564254761
352	0.2560413818
353	0.2559448547
354	0.2558425293
355	0.2555074005
356	0.2552810364
357	0.2548275757
358	0.2545257568
359	0.2540713501
360	0.2540060577
361	0.2537003021
362	0.253579361
363	0.2534034424
364	0.2531122284
365	0.2529700928
366	0.2523323975
367	0.251635376
368	0.2511522064
369	0.2507827911
370	0.2501859741
371	0.2498217926
372	0.2495156708
373	0.2489102478
374	0.2487539215
375	0.2485731659
376	0.2483386993
377	0.2479090729
378	0.247357193
379	0.2469703674
380	0.2466351013
381	0.2465019836
382	0.2462812653
383	0.246082428
384	0.2457258911
385	0.2454596863
386	0.245195694
387	0.2448220825
388	0.2445518188
389	0.2443710022
390	0.2441273651
391	0.2439335938
392	0.2435456543
393	0.2433505554
394	0.2430644989
395	0.2429160919
396	0.2425845947
397	0.2421330566
398	0.2417973938
399	0.2414594116
400	0.2412612762
401	0.2409761658
402	0.2403132629
403	0.2401465912
404	0.2399355774
405	0.2397076111
406	0.2390796814
407	0.2388448639
408	0.2385875092
409	0.2382805481
410	0.2379323578
411	0.2376264496
412	0.2371373138
413	0.2369082336
414	0.2366246033
415	0.2363751831
416	0.2361568604
417	0.2357532501
418	0.2355940094
419	0.2350988007
420	0.2348008881
421	0.2344363251
422	0.2342006989
423	0.2340159912
424	0.2337685394
425	0.2335919495
426	0.233230957
427	0.2327223663
428	0.2324705048
429	0.232171402
430	0.23159375
431	0.2312724915
432	0.230933075
433	0.2305053406
434	0.2303782959
435	0.2299949341
436	0.2295287323
437	0.2293421021
438	0.2289861145
439	0.2287912292
440	0.2284162445
441	0.2281675873
442	0.2277363586
443	0.227504425
444	0.2273415833
445	0.2270605164
446	0.2268109741
447	0.2266296997
448	0.2261843567
449	0.2260140686
450	0.2257243652
451	0.2252620239
452	0.2248401947
453	0.2245090027
454	0.2241715698
455	0.2236387329
456	0.2230207825
457	0.2227311707
458	0.2223740082
459	0.2220353241
460	0.2217224274
461	0.2213009186
462	0.220872345
463	0.2204949799
464	0.2199956207
465	0.2197105103
466	0.2193757324
467	0.2191032257
468	0.2187179565
469	0.2183378143
470	0.2179992218
471	0.2177485962
472	0.2174956055
473	0.2171158447
474	0.2168041687
475	0.2164367676
476	0.2160750275
477	0.2158447266
478	0.2155314331
479	0.2153187408
480	0.2149860382
481	0.2146641388
482	0.2140783539
483	0.2136915588
484	0.2135180054
485	0.2131491699
486	0.2129780426
487	0.2126871338
488	0.2124724731
489	0.2119367371
490	0.2116812134
491	0.211441803
492	0.2109633484
493	0.2106997375
494	0.2103730316
495	0.2100576782
496	0.2095215149
497	0.2091707153
