iter	Logloss
0	0.6561884766
1	0.609836792
2	0.5751030884
3	0.549217041
4	0.5251719971
5	0.5071019287
6	0.4847567139
7	0.4642355652
8	0.4507588501
9	0.4426099854
10	0.4349753418
11	0.4264182129
12	0.4115630188
13	0.4012003784
14	0.3928497314
15	0.3870658569
16	0.3821120605
17	0.3724731445
18	0.3621906128
19	0.3580714722
20	0.3527977295
21	0.3495049133
22	0.3468095703
23	0.3424730835
24	0.3365372314
25	0.3322584839
26	0.3274737854
27	0.3235256348
28	0.3218308716
29	0.3179393311
30	0.3153733826
31	0.3121012573
32	0.3100864868
33	0.3083657837
34	0.3044570007
35	0.3034300232
36	0.2995877686
37	0.2956201172
38	0.2947507935
39	0.2940161133
40	0.2909829102
41	0.2884043579
42	0.2880266113
43	0.2861064453
44	0.2848807373
45	0.2831637573
46	0.2815131226
47	0.2809429932
48	0.2785106201
49	0.2759552612
50	0.273965271
51	0.2726314392
52	0.2710452271
53	0.2691309204
54	0.2670752258
55	0.2655496826
56	0.2641511536
57	0.2632702026
58	0.2624309692
59	0.2612412109
60	0.2603500366
61	0.2595752563
62	0.2586087036
63	0.2578460693
64	0.256136322
65	0.2542133484
66	0.2523167114
67	0.2509876099
68	0.2489945679
69	0.2479028168
70	0.2460272827
71	0.2445991364
72	0.2440962982
73	0.2427959137
74	0.2407057648
75	0.239624054
76	0.2371860046
77	0.2355542145
78	0.2344027863
79	0.2332980804
80	0.2322474365
81	0.2303420715
82	0.2294257812
83	0.2287649994
84	0.2267266846
85	0.2256363831
86	0.2248398437
87	0.2235350037
88	0.2225951691
89	0.2215270386
90	0.2203311615
91	0.2193609467
92	0.2179708405
93	0.2166508179
94	0.2156609192
95	0.2148005829
96	0.2134938507
97	0.2127879181
98	0.2116106567
99	0.2103955231
100	0.209170166
101	0.2083349915
102	0.207296402
103	0.2057045898
104	0.2045960999
105	0.2029925537
106	0.2017316589
107	0.2001322937
108	0.1983267517
109	0.197175293
110	0.1961180267
111	0.1948421173
112	0.1933690796
113	0.1920352478
114	0.1903948059
115	0.1890751038
116	0.1878817444
117	0.1864089661
118	0.1852177734
119	0.1840590973
120	0.1829121399
121	0.1817307129
122	0.1805506592
123	0.1793421478
124	0.1781349792
125	0.176014328
126	0.1746693115
127	0.1736629028
128	0.1725775452
129	0.1718916473
130	0.1711231079
131	0.1697723999
132	0.16875737
133	0.1676204987
134	0.1664942932
135	0.1646055145
136	0.1632261963
137	0.162098999
138	0.1610813904
139	0.1600633545
140	0.1585256348
141	0.1577140198
142	0.1568579712
143	0.1560723724
144	0.1550765686
145	0.1542384796
146	0.1532895355
147	0.1519610443
148	0.1509493408
149	0.1496378632
150	0.1487818298
151	0.1480452271
152	0.1470535278
153	0.1464902954
154	0.145690155
155	0.1451533051
156	0.1442601624
157	0.144109848
158	0.143170517
159	0.1424619598
160	0.1417825317
161	0.1411837616
162	0.1402322693
163	0.1395301514
164	0.1390900726
165	0.1384141693
166	0.1378666229
167	0.1371486816
168	0.1367563171
169	0.1359003601
170	0.1353323059
171	0.1349089966
172	0.1342408752
173	0.1334920807
174	0.1329204407
175	0.1322340698
176	0.1313867035
177	0.1305286713
178	0.129539093
179	0.1290516968
180	0.1283016663
181	0.1275993881
182	0.1272543335
183	0.126975563
184	0.1262550964
185	0.1251110382
186	0.1245102615
187	0.1238777313
188	0.1232360229
189	0.1224911346
190	0.121834549
191	0.1213718109
192	0.1207592468
193	0.1202423706
194	0.119548027
195	0.1188015213
196	0.1182006226
197	0.1173870621
198	0.1166843643
199	0.1161823578
200	0.1155284958
201	0.1152353058
202	0.114564743
203	0.1139341354
204	0.1134710999
205	0.1130590515
206	0.1124547272
207	0.1119867249
208	0.1112390366
209	0.1106242218
210	0.1099216919
211	0.1091353836
212	0.1084584732
213	0.1079430237
214	0.1073206329
215	0.1067780838
216	0.1065210571
217	0.1060552368
218	0.1053220673
219	0.1049073181
220	0.104376709
221	0.1035715027
222	0.1030594482
223	0.1026386032
224	0.1017324066
225	0.101401474
226	0.1008839951
227	0.1003899307
228	0.09960491943
229	0.09905422974
230	0.09855052185
231	0.09816014099
232	0.09782975769
233	0.09747996521
234	0.09703056335
235	0.09668128967
236	0.09638444519
237	0.09592445374
238	0.09543807983
239	0.09501998901
240	0.09463705444
241	0.09417192078
242	0.09364147949
243	0.09319160461
244	0.09279569244
245	0.09247951508
246	0.09203215027
247	0.09163601685
248	0.09119424438
249	0.0906297226
250	0.09020761108
251	0.09004171753
252	0.08952984619
253	0.08922612
254	0.08867015839
255	0.08818981934
256	0.08759649658
257	0.08732504272
258	0.08695475769
259	0.08668000793
260	0.08636412811
261	0.08590579987
262	0.08539875793
263	0.08501496887
264	0.08476246643
265	0.08435388184
266	0.08412240601
267	0.08363929749
268	0.08336946869
269	0.08302035522
